"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2013 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2013 inflation-adjusted dollars)",
"1500000US170310208024","Block Group 4, Census Tract 208.02, Cook County, Illinois","34531","17547",
"1500000US170310209011","Block Group 1, Census Tract 209.01, Cook County, Illinois","41108","8977",
"1500000US170310209012","Block Group 2, Census Tract 209.01, Cook County, Illinois","30350","8943",
"1500000US170310209013","Block Group 3, Census Tract 209.01, Cook County, Illinois","40799","6010",
"1500000US170310209021","Block Group 1, Census Tract 209.02, Cook County, Illinois","38348","6454",
"1500000US170310209022","Block Group 2, Census Tract 209.02, Cook County, Illinois","42292","15167",
"1500000US170310301011","Block Group 1, Census Tract 301.01, Cook County, Illinois","28993","4200",
"1500000US170310301012","Block Group 2, Census Tract 301.01, Cook County, Illinois","36875","23056",
"1500000US170310301013","Block Group 3, Census Tract 301.01, Cook County, Illinois","22935","10449",
"1500000US170310301014","Block Group 4, Census Tract 301.01, Cook County, Illinois","77900","15648",
"1500000US170310301021","Block Group 1, Census Tract 301.02, Cook County, Illinois","62938","28937",
"1500000US170310301022","Block Group 2, Census Tract 301.02, Cook County, Illinois","25286","5751",
"1500000US170310301023","Block Group 3, Census Tract 301.02, Cook County, Illinois","31125","34287",
"1500000US170310301031","Block Group 1, Census Tract 301.03, Cook County, Illinois","30750","23983",
"1500000US170310301032","Block Group 2, Census Tract 301.03, Cook County, Illinois","31250","10823",
"1500000US170310301041","Block Group 1, Census Tract 301.04, Cook County, Illinois","36899","2326",
"1500000US170310301042","Block Group 2, Census Tract 301.04, Cook County, Illinois","11954","5423",
"1500000US170310302001","Block Group 1, Census Tract 302, Cook County, Illinois","51250","22996",
"1500000US170310302002","Block Group 2, Census Tract 302, Cook County, Illinois","77212","20217",
"1500000US170310302003","Block Group 3, Census Tract 302, Cook County, Illinois","160893","52045",
"1500000US170310302004","Block Group 4, Census Tract 302, Cook County, Illinois","60568","30247",
"1500000US170310303001","Block Group 1, Census Tract 303, Cook County, Illinois","28621","8497",
"1500000US170310303002","Block Group 2, Census Tract 303, Cook County, Illinois","38257","9274",
"1500000US170310304001","Block Group 1, Census Tract 304, Cook County, Illinois","26875","12768",
"1500000US170310304002","Block Group 2, Census Tract 304, Cook County, Illinois","66389","23648",
"1500000US170310305001","Block Group 1, Census Tract 305, Cook County, Illinois","64773","15427",
"1500000US170310305002","Block Group 2, Census Tract 305, Cook County, Illinois","54911","32961",
"1500000US170310305003","Block Group 3, Census Tract 305, Cook County, Illinois","57292","31980",
"1500000US170310305004","Block Group 4, Census Tract 305, Cook County, Illinois","56210","27072",
"1500000US170310306011","Block Group 1, Census Tract 306.01, Cook County, Illinois","23750","12407",
"1500000US170310306012","Block Group 2, Census Tract 306.01, Cook County, Illinois","38984","37760",
"1500000US170310306013","Block Group 3, Census Tract 306.01, Cook County, Illinois","37969","10913",
"1500000US170310306031","Block Group 1, Census Tract 306.03, Cook County, Illinois","28021","8078",
"1500000US170310306032","Block Group 2, Census Tract 306.03, Cook County, Illinois","23628","5908",
"1500000US170310306041","Block Group 1, Census Tract 306.04, Cook County, Illinois","44410","14507",
"1500000US170310306042","Block Group 2, Census Tract 306.04, Cook County, Illinois","38707","10206",
"1500000US170310306043","Block Group 3, Census Tract 306.04, Cook County, Illinois","24016","7774",
"1500000US170310307011","Block Group 1, Census Tract 307.01, Cook County, Illinois","34719","20575",
"1500000US170310307021","Block Group 1, Census Tract 307.02, Cook County, Illinois","56250","35637",
"1500000US170310307022","Block Group 2, Census Tract 307.02, Cook County, Illinois","52321","8549",
"1500000US170310307031","Block Group 1, Census Tract 307.03, Cook County, Illinois","54817","27196",
"1500000US170310307032","Block Group 2, Census Tract 307.03, Cook County, Illinois","15442","2816",
"1500000US170310307033","Block Group 3, Census Tract 307.03, Cook County, Illinois","48887","7871",
"1500000US170310307061","Block Group 1, Census Tract 307.06, Cook County, Illinois","47701","7921",
"1500000US170310307062","Block Group 2, Census Tract 307.06, Cook County, Illinois","35588","15877",
"1500000US170310308001","Block Group 1, Census Tract 308, Cook County, Illinois","60337","29423",
"1500000US170310308002","Block Group 2, Census Tract 308, Cook County, Illinois","106509","40110",
"1500000US170310308003","Block Group 3, Census Tract 308, Cook County, Illinois","58160","9251",
"1500000US170310308004","Block Group 4, Census Tract 308, Cook County, Illinois","74917","60365",
"1500000US170310309001","Block Group 1, Census Tract 309, Cook County, Illinois","61141","11981",
"1500000US170310309002","Block Group 2, Census Tract 309, Cook County, Illinois","59116","18762",
"1500000US170310309003","Block Group 3, Census Tract 309, Cook County, Illinois","83839","13410",
"1500000US170310309004","Block Group 4, Census Tract 309, Cook County, Illinois","67250","25323",
"1500000US170310310001","Block Group 1, Census Tract 310, Cook County, Illinois","80625","13414",
"1500000US170310310002","Block Group 2, Census Tract 310, Cook County, Illinois","51635","5853",
"1500000US170310310003","Block Group 3, Census Tract 310, Cook County, Illinois","68333","21083",
"1500000US170310311001","Block Group 1, Census Tract 311, Cook County, Illinois","65668","10714",
"1500000US170310311002","Block Group 2, Census Tract 311, Cook County, Illinois","26378","14540",
"1500000US170310311003","Block Group 3, Census Tract 311, Cook County, Illinois","74765","21493",
"1500000US170310312001","Block Group 1, Census Tract 312, Cook County, Illinois","16220","9023",
"1500000US170310312002","Block Group 2, Census Tract 312, Cook County, Illinois","17917","21558",
"1500000US170310312003","Block Group 3, Census Tract 312, Cook County, Illinois","8969","1211",
"1500000US170310312004","Block Group 4, Census Tract 312, Cook County, Illinois","20295","10426",
"1500000US170310313001","Block Group 1, Census Tract 313, Cook County, Illinois","43194","25969",
"1500000US170310313002","Block Group 2, Census Tract 313, Cook County, Illinois","58625","11579",
"1500000US170310313003","Block Group 3, Census Tract 313, Cook County, Illinois","9811","43011",
"1500000US170310313004","Block Group 4, Census Tract 313, Cook County, Illinois","23580","12523",
"1500000US170310313005","Block Group 5, Census Tract 313, Cook County, Illinois","42857","28208",
"1500000US170310314001","Block Group 1, Census Tract 314, Cook County, Illinois","76538","34753",
"1500000US170310314002","Block Group 2, Census Tract 314, Cook County, Illinois","66469","22623",
"1500000US170310314003","Block Group 3, Census Tract 314, Cook County, Illinois","76420","19004",
"1500000US170310314004","Block Group 4, Census Tract 314, Cook County, Illinois","-","**",
"1500000US170310314005","Block Group 5, Census Tract 314, Cook County, Illinois","59831","32865",
"1500000US170310314006","Block Group 6, Census Tract 314, Cook County, Illinois","52217","45193",
"1500000US170310315011","Block Group 1, Census Tract 315.01, Cook County, Illinois","18516","12134",
"1500000US170310315012","Block Group 2, Census Tract 315.01, Cook County, Illinois","34125","40270",
"1500000US170310315013","Block Group 3, Census Tract 315.01, Cook County, Illinois","31128","16083",
"1500000US170310315021","Block Group 1, Census Tract 315.02, Cook County, Illinois","40815","12224",
"1500000US170310315022","Block Group 2, Census Tract 315.02, Cook County, Illinois","20000","20742",
"1500000US170310315023","Block Group 3, Census Tract 315.02, Cook County, Illinois","11994","5789",
"1500000US170310317001","Block Group 1, Census Tract 317, Cook County, Illinois","39567","23665",
