"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1500000US170310101001","Block Group 1, Census Tract 101, Cook County, Illinois","526","236",
"1500000US170310101002","Block Group 2, Census Tract 101, Cook County, Illinois","2456","625",
"1500000US170310101003","Block Group 3, Census Tract 101, Cook County, Illinois","2086","483",
"1500000US170310102011","Block Group 1, Census Tract 102.01, Cook County, Illinois","1790","547",
"1500000US170310102012","Block Group 2, Census Tract 102.01, Cook County, Illinois","4701","734",
"1500000US170310102013","Block Group 3, Census Tract 102.01, Cook County, Illinois","825","211",
"1500000US170310102021","Block Group 1, Census Tract 102.02, Cook County, Illinois","1290","312",
"1500000US170310102022","Block Group 2, Census Tract 102.02, Cook County, Illinois","1293","305",
"1500000US170310103001","Block Group 1, Census Tract 103, Cook County, Illinois","882","286",
"1500000US170310103002","Block Group 2, Census Tract 103, Cook County, Illinois","2143","565",
"1500000US170310103003","Block Group 3, Census Tract 103, Cook County, Illinois","1386","326",
"1500000US170310103004","Block Group 4, Census Tract 103, Cook County, Illinois","1654","516",
"1500000US170310104001","Block Group 1, Census Tract 104, Cook County, Illinois","1438","277",
"1500000US170310104002","Block Group 2, Census Tract 104, Cook County, Illinois","955","299",
"1500000US170310104003","Block Group 3, Census Tract 104, Cook County, Illinois","2301","355",
"1500000US170310105011","Block Group 1, Census Tract 105.01, Cook County, Illinois","1081","283",
"1500000US170310105012","Block Group 2, Census Tract 105.01, Cook County, Illinois","1733","363",
"1500000US170310105013","Block Group 3, Census Tract 105.01, Cook County, Illinois","1002","259",
"1500000US170310105021","Block Group 1, Census Tract 105.02, Cook County, Illinois","1377","417",
"1500000US170310105022","Block Group 2, Census Tract 105.02, Cook County, Illinois","2383","639",
"1500000US170310105031","Block Group 1, Census Tract 105.03, Cook County, Illinois","1660","432",
"1500000US170310105032","Block Group 2, Census Tract 105.03, Cook County, Illinois","665","221",
"1500000US170310106001","Block Group 1, Census Tract 106, Cook County, Illinois","3091","640",
"1500000US170310106002","Block Group 2, Census Tract 106, Cook County, Illinois","984","419",
"1500000US170310106003","Block Group 3, Census Tract 106, Cook County, Illinois","1723","440",
"1500000US170310106004","Block Group 4, Census Tract 106, Cook County, Illinois","1148","314",
"1500000US170310107011","Block Group 1, Census Tract 107.01, Cook County, Illinois","1749","364",
"1500000US170310107012","Block Group 2, Census Tract 107.01, Cook County, Illinois","2194","394",
"1500000US170310107021","Block Group 1, Census Tract 107.02, Cook County, Illinois","1620","498",
