"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",
"1500000US170318246025","Block Group 5, Census Tract 8246.02, Cook County, Illinois","707","246","609","233","510","189","70","74","29","49","0","11","0","11","0","11","0","11","0","11","0","11","98","79","98","79","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170318247011","Block Group 1, Census Tract 8247.01, Cook County, Illinois","1998","430","1437","385","1147","373","156","116","0","11","97","94","0","11","0","11","37","45","0","11","37","45","561","391","262","269","0","11","0","11","0","11","0","11","299","279","0","11","0","11","0","11",
"1500000US170318247012","Block Group 2, Census Tract 8247.01, Cook County, Illinois","1235","276","992","217","962","226","9","15","0","11","21","36","0","11","0","11","0","11","0","11","0","11","243","217","41","54","13","22","0","11","0","11","0","11","174","204","15","41","15","41","0","11",
"1500000US170318247013","Block Group 3, Census Tract 8247.01, Cook County, Illinois","584","239","574","241","341","197","195","138","0","11","0","11","0","11","0","11","38","59","0","11","38","59","10","15","10","15","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170318247021","Block Group 1, Census Tract 8247.02, Cook County, Illinois","1292","258","1076","254","891","232","185","142","0","11","0","11","0","11","0","11","0","11","0","11","0","11","216","153","128","133","0","11","10","16","7","10","0","11","7","11","64","56","64","56","0","11",
"1500000US170318247022","Block Group 2, Census Tract 8247.02, Cook County, Illinois","1629","508","1036","427","381","136","372","283","0","11","46","48","0","11","0","11","237","331","0","11","237","331","593","259","297","172","5","10","49","96","0","11","0","11","212","161","30","47","30","47","0","11",
"1500000US170318247023","Block Group 3, Census Tract 8247.02, Cook County, Illinois","2858","478","1964","321","1862","303","14","22","0","11","88","111","0","11","0","11","0","11","0","11","0","11","894","349","783","356","0","11","12","19","0","11","0","11","51","70","48","79","48","79","0","11",
"1500000US170318248001","Block Group 1, Census Tract 8248, Cook County, Illinois","2673","616","1078","345","188","114","879","315","11","17","0","11","0","11","0","11","0","11","0","11","0","11","1595","585","952","485","0","11","41","52","0","11","0","11","570","497","32","35","0","11","32","35",
"1500000US170318248002","Block Group 2, Census Tract 8248, Cook County, Illinois","1543","488","635","222","567","218","68","93","0","11","0","11","0","11","0","11","0","11","0","11","0","11","908","473","508","445","0","11","0","11","0","11","0","11","400","271","0","11","0","11","0","11",
"1500000US170318248003","Block Group 3, Census Tract 8248, Cook County, Illinois","1411","563","933","438","20","37","913","437","0","11","0","11","0","11","0","11","0","11","0","11","0","11","478","336","184","189","0","11","0","11","0","11","0","11","294","298","0","11","0","11","0","11",
"1500000US170318248004","Block Group 4, Census Tract 8248, Cook County, Illinois","1599","586","724","283","518","217","206","169","0","11","0","11","0","11","0","11","0","11","0","11","0","11","875","599","832","589","0","11","0","11","0","11","0","11","43","70","0","11","0","11","0","11",
"1500000US170318249001","Block Group 1, Census Tract 8249, Cook County, Illinois","998","327","772","210","143","101","629","215","0","11","0","11","0","11","0","11","0","11","0","11","0","11","226","229","151","199","0","11","0","11","0","11","0","11","75","130","0","11","0","11","0","11",
"1500000US170318249002","Block Group 2, Census Tract 8249, Cook County, Illinois","2160","378","2068","376","587","200","1425","426","0","11","0","11","0","11","21","30","35","53","35","53","0","11","92","145","27","50","0","11","0","11","0","11","0","11","64","134","1","4","1","4","0","11",
