"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied",
"1500000US170310207022","Block Group 2, Census Tract 207.02, Cook County, Illinois","879","192","258","121","621","205",
"1500000US170310207023","Block Group 3, Census Tract 207.02, Cook County, Illinois","650","154","280","124","370","136",
"1500000US170310207024","Block Group 4, Census Tract 207.02, Cook County, Illinois","314","91","245","84","69","61",
"1500000US170310208011","Block Group 1, Census Tract 208.01, Cook County, Illinois","552","182","185","96","367","162",
"1500000US170310208012","Block Group 2, Census Tract 208.01, Cook County, Illinois","361","154","221","119","140","92",
"1500000US170310208013","Block Group 3, Census Tract 208.01, Cook County, Illinois","406","156","123","106","283","123",
"1500000US170310208014","Block Group 4, Census Tract 208.01, Cook County, Illinois","627","183","202","118","425","175",
"1500000US170310208021","Block Group 1, Census Tract 208.02, Cook County, Illinois","251","98","194","80","57","70",
"1500000US170310208022","Block Group 2, Census Tract 208.02, Cook County, Illinois","581","160","190","100","391","137",
"1500000US170310208023","Block Group 3, Census Tract 208.02, Cook County, Illinois","647","168","186","103","461","154",
"1500000US170310208024","Block Group 4, Census Tract 208.02, Cook County, Illinois","516","155","157","57","359","135",
"1500000US170310209011","Block Group 1, Census Tract 209.01, Cook County, Illinois","711","149","205","104","506","118",
"1500000US170310209012","Block Group 2, Census Tract 209.01, Cook County, Illinois","377","116","178","99","199","106",
"1500000US170310209013","Block Group 3, Census Tract 209.01, Cook County, Illinois","720","162","257","113","463","135",
"1500000US170310209021","Block Group 1, Census Tract 209.02, Cook County, Illinois","834","130","511","119","323","87",
"1500000US170310209022","Block Group 2, Census Tract 209.02, Cook County, Illinois","688","111","410","92","278","98",
"1500000US170310301011","Block Group 1, Census Tract 301.01, Cook County, Illinois","510","126","46","69","464","124",
"1500000US170310301012","Block Group 2, Census Tract 301.01, Cook County, Illinois","284","90","92","66","192","86",
